Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-01-16;22.5027;23;22.32;22.6707;96451590
2018-01-17;22.698;23.2667;22.65;23.144;106426485
2018-01-18;23.0447;23.4867;22.916;22.9713;85200075
2018-01-19;23;23.3727;22.84;23.3347;73072125
2018-01-22;23.2933;23.8553;23.28;23.4373;93061515
2018-01-23;24;24.0333;23.4;23.5193;81787995
2018-01-24;23.6387;23.65;22.9013;23.0593;79169490
2018-01-25;23.218;23.28;22.4267;22.5093;100910880
2018-01-26;22.7667;22.9333;22.3807;22.8567;68032050
2018-01-29;22.6567;23.39;22.552;23.302;71104155
2018-01-30;23.0093;23.218;22.8113;23.0547;70663200
2018-01-31;23.1673;23.746;23.0127;23.6207;92992545
2018-02-01;23.4;23.9773;23.242;23.2833;62862480
2018-02-02;23.2293;23.4633;22.7007;22.9167;55447650
2018-02-05;22.5313;22.9647;22.2;22.2087;66634275
2018-02-06;21.6807;22.4147;21.5667;22.2647;76326570
2018-02-07;22.5993;23.0667;22.3773;23;101713245
2018-02-08;22.8873;23.2413;20.9733;21.0153;154472715
2018-02-09;21.3287;21.399;19.6507;20.6947;193874040
2018-02-12;21.0753;21.2053;20.4167;21.0487;93378270
2018-02-13;21.0013;21.6127;20.834;21.5773;68325900
2018-02-14;21.3893;21.7447;21.2347;21.4873;59225925
2018-02-15;21.6333;22.2747;21.4933;22.271;88662105
2018-02-16;22.1667;22.8747;22.1093;22.366;84607380
2018-02-20;22.298;22.7227;22.1;22.3173;60106350
2018-02-21;22.402;22.6463;22.212;22.22;48112035
2018-02-22;22.3687;23.1627;22.3167;23.088;104434020
2018-02-23;23.1887;23.666;23.14;23.47;87216570
2018-02-26;23.5667;23.9333;23.4903;23.8233;65024940
2018-02-27;23.75;23.9993;23.334;23.3993;71961285
2018-02-28;23.5047;23.6827;22.8147;22.8707;91044870
2018-03-01;23.0007;23.2447;22.0047;22.062;103284015
2018-03-02;21.7987;22.348;21.5313;22.3413;76392435
2018-03-05;22.1593;22.5167;21.953;22.2233;57356535
2018-03-06;22.25;22.4247;21.802;21.88;64286160
2018-03-07;21.696;22.1667;21.4493;22.1533;75109455
2018-03-08;22.1907;22.22;21.7517;21.94;53493660
2018-03-09;21.6067;21.8993;21.4913;21.8113;82601460
2018-03-12;21.9073;23.1473;21.7667;23.034;123960525
2018-03-13;22.9947;23.008;22.4177;22.7893;89487075
2018-03-14;22.4507;22.654;21.5953;21.7753;119510550
2018-03-15;21.9587;22.19;21.4067;21.7067;98472015
2018-03-16;21.7307;21.8267;21.2713;21.4233;91759185
2018-03-19;21.1;21.3833;20.6447;20.904;112264410
2018-03-20;20.9913;21.0833;20.584;20.7033;71464395
2018-03-21;20.6833;21.496;20.6793;21.102;89376165
2018-03-22;20.926;21.2547;20.5453;20.6067;74096565
2018-03-23;20.75;20.774;20.03;20.1027;99823485
2018-03-26;20.4893;20.506;19.424;20.2787;125627625
2018-03-27;20.2667;20.2847;18.4787;18.612;208080435
2018-03-28;17.6387;17.912;16.8067;17.1853;315021555
2018-03-29;17.0993;18.064;16.5473;17.742;227561235
2018-04-02;17.084;17.3553;16.306;16.832;241709520
2018-04-03;17.988;18.2233;16.966;17.8353;282665760
2018-04-04;16.852;19.2247;16.8;19.1293;298451190
2018-04-05;19.2893;20.4173;19.2133;20.3813;286816515
2018-04-06;20.0667;20.6187;19.7;19.9533;202804290
2018-04-09;20.0247;20.6333;19.2807;19.3107;153637365
2018-04-10;19.9313;20.4733;19.5787;20.3133;165363885
2018-04-11;20.062;20.5867;19.9773;20.062;112070970
2018-04-12;20.1547;20.2633;19.5787;19.6053;114131535
2018-04-13;20.24;20.2633;19.732;20.0227;109908345
2018-04-16;19.9333;19.9773;19.2673;19.414;95077320
2018-04-17;19.258;19.478;18.834;19.1793;105000345
2018-04-18;19.4053;20.016;19.2107;19.5567;98365500
2018-04-19;19.4053;20.0673;19.2367;20.0053;91358985
2018-04-20;19.678;19.9987;19.3167;19.3493;84418920
2018-04-23;19.4193;19.4413;18.822;18.8913;73400670
2018-04-24;19;19.1393;18.564;18.8973;85279620
2018-04-25;18.9;19.0107;18.4833;18.7127;60203610
2018-04-26;18.5833;19.0527;18.4333;19.032;65340195
2018-04-27;19.0247;19.6313;18.922;19.605;65469390
2018-04-30;19.574;19.9153;19.5;19.5933;63422580
2018-05-01;19.5673;20.0547;19.548;19.9947;69384045
2018-05-02;19.9047;20.4567;19.8523;20.0767;134555550
2018-05-03;18.586;19.2027;18.3487;18.9633;260281950
2018-05-04;18.8667;19.7907;18.6347;19.606;128540310
2018-05-07;19.8333;20.3973;19.678;20.1847;130173360
2018-05-08;20.053;20.5167;19.9333;20.1313;88950000
2018-05-09;20.0273;20.4673;20.0033;20.4567;85910475
2018-05-10;20.5;20.866;20.274;20.3347;84773415
2018-05-11;20.5133;20.592;19.9387;20.0707;70194735
2018-05-14;20.2213;20.3293;19.4413;19.4647;109302060
2018-05-15;19.0007;19.1307;18.7;18.9453;142787595
2018-05-16;18.922;19.254;18.7707;19.0987;85110285
2018-05-17;19.06;19.279;18.9313;18.9693;66309180
2018-05-18;18.9767;18.9767;18.2667;18.4547;108778305
2018-05-21;18.7553;19.4327;18.7533;18.966;137738565
2018-05-22;19.184;19.2;18.228;18.334;134186340
2018-05-23;18.5173;18.6607;18.2667;18.6047;89775795
2018-05-24;18.56;18.7407;18.326;18.5233;62650620
2018-05-25;18.5083;18.6427;18.374;18.59;58126230
2018-05-29;18.5673;19.1;18.41;18.9173;84999600
2018-05-30;18.886;19.667;18.7733;19.448;112345290
2018-05-31;19.1473;19.358;18.862;18.982;88795815
2018-06-01;19.0573;19.4633;18.9227;19.4547;81365790
